x, y
cm-1, Jy
wavenumber, intensity
593.603918, 2.335040e+04
593.692022, 2.331244e+04
593.780153, 2.327446e+04
593.868310, 2.323648e+04
593.956493, 2.319854e+04
594.044702, 2.316063e+04
594.132937, 2.312279e+04
594.221199, 2.308502e+04
594.309487, 2.304736e+04
594.397801, 2.300981e+04
594.486141, 2.297240e+04
594.574508, 2.293515e+04
594.662900, 2.289807e+04
594.751320, 2.286119e+04
594.839765, 2.282453e+04
594.928237, 2.278811e+04
595.016735, 2.275195e+04
595.105259, 2.271607e+04
595.193810, 2.268049e+04
595.282387, 2.264523e+04
595.370991, 2.261032e+04
595.459620, 2.257579e+04
595.548277, 2.254164e+04
595.636959, 2.250791e+04
595.725668, 2.247461e+04
595.814404, 2.244179e+04
595.903166, 2.240944e+04
595.991954, 2.237761e+04
596.080769, 2.234632e+04
596.169610, 2.231559e+04
596.258478, 2.228545e+04
596.347372, 2.225593e+04
596.436293, 2.222705e+04
596.525240, 2.219883e+04
596.614214, 2.217132e+04
596.703215, 2.214453e+04
596.792242, 2.211850e+04
596.881295, 2.209326e+04
596.970375, 2.206883e+04
597.059482, 2.204524e+04
597.148615, 2.202254e+04
597.237775, 2.200074e+04
597.326962, 2.197989e+04
597.416175, 2.196001e+04
597.505415, 2.194114e+04
597.594681, 2.192332e+04
597.683975, 2.190658e+04
597.773294, 2.189096e+04
597.862641, 2.187649e+04
597.952014, 2.186321e+04
598.041414, 2.185117e+04
598.130841, 2.184040e+04
598.220295, 2.183095e+04
598.309775, 2.182284e+04
598.399282, 2.181614e+04
598.488816, 2.181088e+04
598.578376, 2.180711e+04
598.667964, 2.180487e+04
598.757578, 2.180421e+04
598.847219, 2.180519e+04
598.936887, 2.180784e+04
599.026582, 2.181222e+04
599.116303, 2.181839e+04
599.206052, 2.182640e+04
599.295827, 2.183630e+04
599.385630, 2.184815e+04
599.475459, 2.186201e+04
599.565315, 2.187793e+04
599.655198, 2.189599e+04
599.745108, 2.191623e+04
599.835045, 2.193873e+04
599.925009, 2.196356e+04
600.015000, 2.199078e+04
600.105018, 2.202045e+04
600.195063, 2.205266e+04
600.285135, 2.208748e+04
600.375235, 2.212497e+04
600.465361, 2.216522e+04
600.555514, 2.220831e+04
600.645694, 2.225431e+04
600.735901, 2.230332e+04
600.826136, 2.235540e+04
600.916398, 2.241066e+04
601.006686, 2.246918e+04
601.097002, 2.253104e+04
601.187345, 2.259635e+04
601.277715, 2.266519e+04
601.368112, 2.273766e+04
601.458537, 2.281385e+04
601.548989, 2.289388e+04
601.639468, 2.297782e+04
601.729974, 2.306580e+04
601.820507, 2.315790e+04
601.911068, 2.325424e+04
602.001656, 2.335491e+04
602.092271, 2.346003e+04
602.182913, 2.356970e+04
602.273583, 2.368401e+04
602.364280, 2.380309e+04
602.455004, 2.392702e+04
602.545756, 2.405592e+04
602.636535, 2.418988e+04
602.727341, 2.432901e+04
602.818175, 2.447339e+04
602.909036, 2.462312e+04
602.999925, 2.477830e+04
603.090841, 2.493899e+04
603.181784, 2.510528e+04
603.272755, 2.527723e+04
603.363753, 2.545492e+04
603.454779, 2.563838e+04
603.545832, 2.582766e+04
603.636912, 2.602279e+04
603.728021, 2.622379e+04
603.819156, 2.643065e+04
603.910319, 2.664336e+04
604.001510, 2.686188e+04
604.092728, 2.708615e+04
604.183974, 2.731610e+04
604.275247, 2.755163e+04
604.366548, 2.779259e+04
604.457877, 2.803883e+04
604.549233, 2.829016e+04
604.640617, 2.854635e+04
604.732028, 2.880714e+04
604.823467, 2.907222e+04
604.914934, 2.934124e+04
605.006428, 2.961382e+04
605.097950, 2.988952e+04
605.189500, 3.016786e+04
605.281077, 3.044831e+04
605.372683, 3.073027e+04
605.464315, 3.101311e+04
605.555976, 3.129613e+04
605.647664, 3.157860e+04
605.739381, 3.185970e+04
605.831125, 3.213859e+04
605.922896, 3.241437e+04
606.014696, 3.268607e+04
606.106523, 3.295271e+04
606.198378, 3.321324e+04
606.290261, 3.346660e+04
606.382172, 3.371167e+04
606.474111, 3.394733e+04
606.566078, 3.417245e+04
606.658072, 3.438586e+04
606.750095, 3.458643e+04
606.842145, 3.477303e+04
606.934224, 3.494456e+04
607.026330, 3.509995e+04
607.118464, 3.523817e+04
607.210626, 3.535827e+04
607.302816, 3.545936e+04
607.395035, 3.554064e+04
607.487281, 3.560138e+04
607.579555, 3.564097e+04
607.671857, 3.565892e+04
607.764187, 3.565484e+04
607.856546, 3.562845e+04
607.948932, 3.557963e+04
608.041347, 3.550836e+04
608.133789, 3.541476e+04
608.226260, 3.529907e+04
608.318759, 3.516166e+04
608.411286, 3.500301e+04
608.503841, 3.482373e+04
608.596424, 3.462450e+04
608.689036, 3.440613e+04
608.781676, 3.416949e+04
608.874344, 3.391554e+04
608.967040, 3.364528e+04
609.059764, 3.335978e+04
609.152517, 3.306014e+04
609.245297, 3.274750e+04
609.338106, 3.242299e+04
609.430944, 3.208778e+04
609.523810, 3.174300e+04
609.616703, 3.138980e+04
609.709626, 3.102928e+04
609.802576, 3.066253e+04
609.895555, 3.029060e+04
609.988563, 2.991450e+04
610.081598, 2.953518e+04
610.174662, 2.915358e+04
610.267755, 2.877055e+04
610.360876, 2.838690e+04
610.454025, 2.800339e+04
610.547203, 2.762073e+04
610.640409, 2.723956e+04
610.733644, 2.686048e+04
610.826907, 2.648403e+04
610.920199, 2.611071e+04
611.013519, 2.574096e+04
611.106867, 2.537518e+04
611.200244, 2.501371e+04
611.293650, 2.465688e+04
611.387084, 2.430494e+04
611.480547, 2.395813e+04
611.574039, 2.361665e+04
611.667559, 2.328065e+04
611.761107, 2.295028e+04
611.854685, 2.262565e+04
611.948290, 2.230682e+04
612.041925, 2.199387e+04
612.135588, 2.168682e+04
612.229280, 2.138569e+04
612.323000, 2.109049e+04
612.416750, 2.080120e+04
612.510528, 2.051779e+04
612.604334, 2.024022e+04
612.698170, 1.996844e+04
612.792034, 1.970238e+04
612.885927, 1.944198e+04
612.979848, 1.918715e+04
613.073799, 1.893782e+04
613.167778, 1.869389e+04
613.261786, 1.845528e+04
613.355823, 1.822189e+04
613.449889, 1.799361e+04
613.543983, 1.777034e+04
613.638107, 1.755199e+04
613.732259, 1.733845e+04
613.826441, 1.712960e+04
613.920651, 1.692536e+04
614.014890, 1.672560e+04
614.109158, 1.653023e+04
614.203455, 1.633914e+04
614.297781, 1.615223e+04
614.392136, 1.596939e+04
614.486520, 1.579052e+04
614.580933, 1.561553e+04
